index,oversample,decision_boundary,alpha,train_precision_mean,train_precision_std_dev,validate_precision_mean,validate_precision_std_dev,overfit
0,1,0.5,0,0.384143194,0.017714983,0.334929099,0.092336836,-12.81139308
1,1,0.5,10,0.393056888,0.019142491,0.339630887,0.112771074,-13.59243489
2,1,0.5,20,0.387643767,0.018553591,0.351290617,0.104356928,-9.377978831
3,1,0.5,30,0.380833542,0.01629125,0.33510034,0.117890111,-12.00871162
4,1,0.5,40,0.373993299,0.017315604,0.329024522,0.120963242,-12.02395269
5,1,0.5,50,0.366732725,0.014293352,0.329642857,0.120786379,-10.11359643
6,1,0.5,60,0.363251122,0.012613113,0.325992063,0.116965859,-10.25710774
7,1,0.5,70,0.352566978,0.010916471,0.313696842,0.108028858,-11.02489403
8,1,0.5,80,0.344093519,0.01327012,0.312482532,0.100262075,-9.186743017
9,1,0.5,90,0.332156831,0.014225718,0.301692903,0.080280293,-9.171549584
10,1,0.5,100,0.323334672,0.014425608,0.298539384,0.081039382,-7.668613842
11,1,0.35,0,0.319386822,0.014549565,0.281951125,0.064386919,-11.72111501
12,1,0.35,10,0.303951149,0.011970715,0.276519798,0.070468586,-9.024920736
13,1,0.35,20,0.288009247,0.01241582,0.264338047,0.063615733,-8.218902727
14,1,0.35,30,0.269969586,0.01372634,0.249266497,0.048521328,-7.668674759
15,1,0.35,40,0.253296116,0.012228194,0.238098878,0.036033127,-5.99979114
16,1,0.35,50,0.240376252,0.009542932,0.225339617,0.033548254,-6.255457491
17,1,0.35,60,0.227557227,0.009867469,0.212370193,0.031042196,-6.673940252
18,1,0.35,70,0.213367739,0.009787063,0.202117692,0.034256814,-5.27260915
19,1,0.35,80,0.198701248,0.009654861,0.188258262,0.02093694,-5.25562156
20,1,0.35,90,0.187305119,0.007987683,0.175819646,0.019836869,-6.131958601
21,1,0.35,100,0.175477213,0.007606364,0.165488647,0.019058365,-5.692229774
22,1,0.2,0,0.253377191,0.011792282,0.227003035,0.035321465,-10.4090488
23,1,0.2,10,0.2233885,0.011433996,0.20650903,0.028557469,-7.556105157
