index,parameters,max_depth,max_leaf_nodes,training,validation,overfit_%
0,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.603603604,0.5,-17.1641791
1,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.738738739,0.75,1.524390244
2,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.594594595,0.625,5.113636364
3,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.765765766,0.375,-51.02941176
4,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.747747748,0.5,-33.13253012
5,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.72972973,0.75,2.777777778
6,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.603603604,0.5,-17.1641791
7,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.585585586,0.75,28.07692308
8,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.423423423,0.25,-40.95744681
9,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.792792793,0.75,-5.397727273
10,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.603603604,0.5,-17.1641791
11,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.738738739,0.75,1.524390244
12,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.603603604,0.5,-17.1641791
13,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.414414414,0.375,-9.510869565
14,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 2}",2,2,0.419642857,0.285714286,-31.91489362
15,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
16,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
17,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
18,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
19,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0.603603604,0.5,-17.1641791
20,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0.594594595,0.625,5.113636364
21,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0.603603604,0.5,-17.1641791
22,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
23,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
24,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0.531531532,0.25,-52.96610169
25,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0.603603604,0.5,-17.1641791
26,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
27,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
28,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
29,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 3}",2,3,0,0,NaN
30,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.234234234,0.125,-46.63461538
31,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0,0,NaN
32,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0,0,NaN
33,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0,0,NaN
34,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.603603604,0.5,-17.1641791
35,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.720720721,0.75,4.0625
36,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.603603604,0.5,-17.1641791
37,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.216216216,0,-100
38,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.414414414,0.625,50.81521739
39,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.531531532,0.25,-52.96610169
40,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.603603604,0.5,-17.1641791
41,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.063063063,0.125,98.21428571
42,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.243243243,0.125,-48.61111111
43,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0,0,NaN
44,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 4}",2,4,0.4375,0.571428571,30.6122449
45,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.234234234,0.125,-46.63461538
46,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0,0,NaN
47,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0,0,NaN
48,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0,0,NaN
49,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.603603604,0.5,-17.1641791
50,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.720720721,0.75,4.0625
51,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.603603604,0.5,-17.1641791
52,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.216216216,0,-100
53,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.414414414,0.625,50.81521739
54,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.531531532,0.25,-52.96610169
55,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.603603604,0.5,-17.1641791
56,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.063063063,0.125,98.21428571
57,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.243243243,0.125,-48.61111111
58,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0,0,NaN
59,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 5}",2,5,0.4375,0.571428571,30.6122449
60,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.234234234,0.125,-46.63461538
61,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0,0,NaN
62,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0,0,NaN
63,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0,0,NaN
64,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.603603604,0.5,-17.1641791
65,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.720720721,0.75,4.0625
66,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.603603604,0.5,-17.1641791
67,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.216216216,0,-100
68,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.414414414,0.625,50.81521739
69,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.531531532,0.25,-52.96610169
70,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.603603604,0.5,-17.1641791
71,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.063063063,0.125,98.21428571
72,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.243243243,0.125,-48.61111111
73,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0,0,NaN
74,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 6}",2,6,0.4375,0.571428571,30.6122449
75,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.234234234,0.125,-46.63461538
76,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0,0,NaN
77,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0,0,NaN
78,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0,0,NaN
79,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.603603604,0.5,-17.1641791
80,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.720720721,0.75,4.0625
81,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.603603604,0.5,-17.1641791
82,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.216216216,0,-100
83,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.414414414,0.625,50.81521739
84,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.531531532,0.25,-52.96610169
85,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.603603604,0.5,-17.1641791
86,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.063063063,0.125,98.21428571
87,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.243243243,0.125,-48.61111111
88,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0,0,NaN
89,"{'dt_class__max_depth': 2, 'dt_class__max_leaf_nodes': 7}",2,7,0.4375,0.571428571,30.6122449
90,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.603603604,0.5,-17.1641791
91,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.738738739,0.75,1.524390244
92,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.594594595,0.625,5.113636364
93,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.765765766,0.375,-51.02941176
94,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.747747748,0.5,-33.13253012
95,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.72972973,0.75,2.777777778
96,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.603603604,0.5,-17.1641791
97,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.585585586,0.75,28.07692308
98,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.423423423,0.25,-40.95744681
99,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.792792793,0.75,-5.397727273
100,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.603603604,0.5,-17.1641791
101,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.738738739,0.75,1.524390244
102,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.603603604,0.5,-17.1641791
103,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.414414414,0.375,-9.510869565
104,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 2}",3,2,0.419642857,0.285714286,-31.91489362
105,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
106,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
107,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
108,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
109,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0.603603604,0.5,-17.1641791
110,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0.594594595,0.625,5.113636364
111,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0.603603604,0.5,-17.1641791
112,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
113,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
114,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0.531531532,0.25,-52.96610169
115,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0.603603604,0.5,-17.1641791
116,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
117,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
118,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
119,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 3}",3,3,0,0,NaN
120,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.522522523,0.25,-52.15517241
121,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.63963964,0.625,-2.288732394
122,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.477477477,0.5,4.716981132
123,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.666666667,0.25,-62.5
124,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.540540541,0.375,-30.625
125,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.477477477,0.375,-21.46226415
126,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.486486486,0.375,-22.91666667
127,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.495495495,0.625,26.13636364
128,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.414414414,0.625,50.81521739
129,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.531531532,0.25,-52.96610169
130,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.495495495,0.375,-24.31818182
131,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.630630631,0.75,18.92857143
132,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.486486486,0.5,2.777777778
133,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0,0,NaN
134,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 4}",3,4,0.4375,0.571428571,30.6122449
135,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.756756757,0.375,-50.44642857
136,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.63963964,0.625,-2.288732394
137,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.477477477,0.5,4.716981132
138,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.666666667,0.25,-62.5
139,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.540540541,0.375,-30.625
140,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.603603604,0.5,-17.1641791
141,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.486486486,0.375,-22.91666667
142,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.711711712,0.625,-12.1835443
143,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.279279279,0.5,79.03225806
144,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.459459459,0.125,-72.79411765
145,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.495495495,0.375,-24.31818182
146,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.693693694,0.875,26.13636364
147,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.72972973,0.625,-14.35185185
148,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.315315315,0.25,-20.71428571
149,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 5}",3,5,0.758928571,0.571428571,-24.70588235
150,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.72972973,0.25,-65.74074074
151,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.72972973,0.75,2.777777778
152,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.747747748,0.75,0.301204819
153,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.783783784,0.5,-36.20689655
154,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.540540541,0.375,-30.625
155,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.477477477,0.375,-21.46226415
156,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.738738739,0.75,1.524390244
157,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.675675676,0.625,-7.5
158,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.594594595,0.625,5.113636364
159,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.459459459,0.125,-72.79411765
160,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.756756757,0.625,-17.41071429
161,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.684684685,0.875,27.79605263
162,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.693693694,0.625,-9.902597403
163,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.522522523,0.375,-28.23275862
164,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 6}",3,6,0.5625,0.285714286,-49.20634921
165,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.72972973,0.25,-65.74074074
166,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.756756757,0.75,-0.892857143
167,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.774774775,0.875,12.93604651
168,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.810810811,0.5,-38.33333333
169,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.540540541,0.375,-30.625
170,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.477477477,0.375,-21.46226415
171,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.774774775,0.75,-3.197674419
172,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.675675676,0.625,-7.5
173,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.594594595,0.625,5.113636364
174,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.531531532,0.125,-76.48305085
175,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.792792793,0.625,-21.16477273
176,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.684684685,0.875,27.79605263
177,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.693693694,0.625,-9.902597403
178,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.522522523,0.375,-28.23275862
179,"{'dt_class__max_depth': 3, 'dt_class__max_leaf_nodes': 7}",3,7,0.5625,0.285714286,-49.20634921
180,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.603603604,0.5,-17.1641791
181,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.738738739,0.75,1.524390244
182,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.594594595,0.625,5.113636364
183,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.765765766,0.375,-51.02941176
184,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.747747748,0.5,-33.13253012
185,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.72972973,0.75,2.777777778
186,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.603603604,0.5,-17.1641791
187,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.585585586,0.75,28.07692308
188,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.423423423,0.25,-40.95744681
189,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.792792793,0.75,-5.397727273
190,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.603603604,0.5,-17.1641791
191,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.738738739,0.75,1.524390244
192,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.603603604,0.5,-17.1641791
193,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.414414414,0.375,-9.510869565
194,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 2}",4,2,0.419642857,0.285714286,-31.91489362
195,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
196,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
197,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
198,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
199,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0.603603604,0.5,-17.1641791
200,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0.594594595,0.625,5.113636364
201,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0.603603604,0.5,-17.1641791
202,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
203,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
204,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0.531531532,0.25,-52.96610169
205,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0.603603604,0.5,-17.1641791
206,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
207,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
208,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
209,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 3}",4,3,0,0,NaN
210,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.522522523,0.25,-52.15517241
211,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.63963964,0.625,-2.288732394
212,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.477477477,0.5,4.716981132
213,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.666666667,0.25,-62.5
214,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.540540541,0.375,-30.625
215,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.477477477,0.375,-21.46226415
216,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.486486486,0.375,-22.91666667
217,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.495495495,0.625,26.13636364
218,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.414414414,0.625,50.81521739
219,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.531531532,0.25,-52.96610169
220,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.495495495,0.375,-24.31818182
221,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.630630631,0.75,18.92857143
222,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.486486486,0.5,2.777777778
