index,parameters,n_neighbours,training,validation,overfit_%
0,{'kn_class__n_neighbors': 10},10,0.954954955,0.875,-8.372641509
1,{'kn_class__n_neighbors': 10},10,0.963963964,0.875,-9.228971963
2,{'kn_class__n_neighbors': 10},10,0.963963964,1,3.738317757
3,{'kn_class__n_neighbors': 10},10,0.954954955,0.75,-21.46226415
4,{'kn_class__n_neighbors': 10},10,0.972972973,0.75,-22.91666667
5,{'kn_class__n_neighbors': 10},10,0.963963964,0.5,-48.13084112
6,{'kn_class__n_neighbors': 10},10,0.945945946,0.875,-7.5
7,{'kn_class__n_neighbors': 10},10,0.954954955,0.875,-8.372641509
8,{'kn_class__n_neighbors': 10},10,0.981981982,0.75,-23.62385321
9,{'kn_class__n_neighbors': 10},10,0.954954955,0.875,-8.372641509
10,{'kn_class__n_neighbors': 10},10,0.954954955,0.75,-21.46226415
11,{'kn_class__n_neighbors': 10},10,0.981981982,0.875,-10.89449541
12,{'kn_class__n_neighbors': 10},10,0.972972973,0.875,-10.06944444
13,{'kn_class__n_neighbors': 10},10,0.972972973,0.75,-22.91666667
14,{'kn_class__n_neighbors': 10},10,0.973214286,0.857142857,-11.9266055
15,{'kn_class__n_neighbors': 20},20,0.918918919,0.875,-4.779411765
16,{'kn_class__n_neighbors': 20},20,0.936936937,0.875,-6.610576923
17,{'kn_class__n_neighbors': 20},20,0.936936937,1,6.730769231
18,{'kn_class__n_neighbors': 20},20,0.945945946,0.75,-20.71428571
19,{'kn_class__n_neighbors': 20},20,0.918918919,0.625,-31.98529412
20,{'kn_class__n_neighbors': 20},20,0.945945946,0.625,-33.92857143
21,{'kn_class__n_neighbors': 20},20,0.936936937,0.875,-6.610576923
22,{'kn_class__n_neighbors': 20},20,0.918918919,0.875,-4.779411765
23,{'kn_class__n_neighbors': 20},20,0.936936937,0.75,-19.95192308
24,{'kn_class__n_neighbors': 20},20,0.927927928,0.875,-5.703883495
25,{'kn_class__n_neighbors': 20},20,0.945945946,0.75,-20.71428571
26,{'kn_class__n_neighbors': 20},20,0.936936937,0.875,-6.610576923
27,{'kn_class__n_neighbors': 20},20,0.945945946,0.875,-7.5
28,{'kn_class__n_neighbors': 20},20,0.90990991,0.75,-17.57425743
29,{'kn_class__n_neighbors': 20},20,0.955357143,0.857142857,-10.28037383
30,{'kn_class__n_neighbors': 30},30,0.900900901,0.875,-2.875
