index,parameters,alpha,training,validation,overfit_%
0,{'nb_class__alpha': 100},100,0.495495495,0.875,76.59090909
1,{'nb_class__alpha': 100},100,0.513513514,0.5,-2.631578947
2,{'nb_class__alpha': 100},100,0.531531532,0.375,-29.44915254
3,{'nb_class__alpha': 100},100,0.504504505,0.5,-0.892857143
4,{'nb_class__alpha': 100},100,0.513513514,0.25,-51.31578947
5,{'nb_class__alpha': 100},100,0.495495495,0.5,0.909090909
6,{'nb_class__alpha': 100},100,0.504504505,0.5,-0.892857143
7,{'nb_class__alpha': 100},100,0.522522523,0.5,-4.310344828
8,{'nb_class__alpha': 100},100,0.522522523,0.25,-52.15517241
9,{'nb_class__alpha': 100},100,0.504504505,0.625,23.88392857
10,{'nb_class__alpha': 100},100,0.486486486,0.625,28.47222222
11,{'nb_class__alpha': 100},100,0.522522523,0.5,-4.310344828
12,{'nb_class__alpha': 100},100,0.513513514,0.625,21.71052632
13,{'nb_class__alpha': 100},100,0.513513514,0.5,-2.631578947
14,{'nb_class__alpha': 100},100,0.5,0.571428571,14.28571429
15,{'nb_class__alpha': 500},500,0.495495495,0.875,76.59090909
16,{'nb_class__alpha': 500},500,0.522522523,0.5,-4.310344828
17,{'nb_class__alpha': 500},500,0.531531532,0.375,-29.44915254
18,{'nb_class__alpha': 500},500,0.504504505,0.5,-0.892857143
19,{'nb_class__alpha': 500},500,0.513513514,0.25,-51.31578947
20,{'nb_class__alpha': 500},500,0.504504505,0.5,-0.892857143
21,{'nb_class__alpha': 500},500,0.513513514,0.5,-2.631578947
22,{'nb_class__alpha': 500},500,0.522522523,0.5,-4.310344828
23,{'nb_class__alpha': 500},500,0.522522523,0.25,-52.15517241
24,{'nb_class__alpha': 500},500,0.504504505,0.625,23.88392857
25,{'nb_class__alpha': 500},500,0.486486486,0.625,28.47222222
26,{'nb_class__alpha': 500},500,0.522522523,0.5,-4.310344828
27,{'nb_class__alpha': 500},500,0.522522523,0.625,19.61206897
28,{'nb_class__alpha': 500},500,0.513513514,0.5,-2.631578947
29,{'nb_class__alpha': 500},500,0.5,0.571428571,14.28571429
30,{'nb_class__alpha': 1000},1000,0.495495495,0.875,76.59090909
31,{'nb_class__alpha': 1000},1000,0.522522523,0.5,-4.310344828
32,{'nb_class__alpha': 1000},1000,0.531531532,0.375,-29.44915254
33,{'nb_class__alpha': 1000},1000,0.504504505,0.5,-0.892857143
34,{'nb_class__alpha': 1000},1000,0.513513514,0.25,-51.31578947
35,{'nb_class__alpha': 1000},1000,0.504504505,0.5,-0.892857143
36,{'nb_class__alpha': 1000},1000,0.513513514,0.5,-2.631578947
37,{'nb_class__alpha': 1000},1000,0.522522523,0.5,-4.310344828
38,{'nb_class__alpha': 1000},1000,0.522522523,0.25,-52.15517241
39,{'nb_class__alpha': 1000},1000,0.504504505,0.75,48.66071429
