index,parameters,max_depth,n_estimators,training,validation,overfit_%
0,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.657657658,0.125,-80.99315068
1,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.531531532,0.75,41.10169492
2,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.567567568,0.625,10.11904762
3,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.531531532,0.25,-52.96610169
4,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.522522523,0.25,-52.15517241
5,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.603603604,0.625,3.544776119
6,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.612612613,0.625,2.022058824
7,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.567567568,0.5,-11.9047619
8,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.594594595,0.5,-15.90909091
9,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.531531532,0.375,-29.44915254
10,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.513513514,0.625,21.71052632
11,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.495495495,0.75,51.36363636
12,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.495495495,0.375,-24.31818182
13,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.414414414,0.375,-9.510869565
14,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 2}",2,2,0.446428571,0.571428571,28
15,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 3}",2,3,0.675675676,0.375,-44.5
16,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 3}",2,3,0.657657658,1,52.05479452
17,"{'rf_class__max_depth': 2, 'rf_class__n_estimators': 3}",2,3,0.675675676,0.75,11
