index,parameters,C,degree,training,validation,overfit_%
0,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.009009009,0,-100
1,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
2,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.009009009,0,-100
3,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
4,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
5,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.036036036,0,-100
6,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.036036036,0,-100
7,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
8,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.009009009,0,-100
9,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
10,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.009009009,0,-100
11,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.018018018,0,-100
12,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.027027027,0,-100
13,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.054054054,0,-100
14,"{'svc_class__C': 0.01, 'svc_class__degree': 2}",0.01,2,0.526785714,0.428571429,-18.6440678
15,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.099099099,0,-100
16,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.099099099,0,-100
17,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.162162162,0.125,-22.91666667
18,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.099099099,0,-100
19,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.099099099,0,-100
20,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.135135135,0.125,-7.5
21,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.144144144,0.125,-13.28125
22,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.099099099,0,-100
23,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.081081081,0,-100
24,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.117117117,0,-100
25,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.135135135,0.125,-7.5
26,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.108108108,0.375,246.875
27,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.108108108,0,-100
28,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.135135135,0,-100
29,"{'svc_class__C': 0.01, 'svc_class__degree': 3}",0.01,3,0.160714286,0.285714286,77.77777778
30,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.072072072,0,-100
31,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
32,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.099099099,0.125,26.13636364
33,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.09009009,0,-100
34,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
35,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
36,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.099099099,0,-100
37,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
38,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
39,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.099099099,0,-100
40,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.108108108,0,-100
41,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
42,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.081081081,0,-100
43,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.09009009,0,-100
44,"{'svc_class__C': 0.01, 'svc_class__degree': 4}",0.01,4,0.098214286,0.142857143,45.45454545
45,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.117117117,0,-100
46,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.126126126,0,-100
47,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.198198198,0.125,-36.93181818
48,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.162162162,0,-100
49,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.153153153,0,-100
50,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.126126126,0,-100
51,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.144144144,0,-100
52,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.144144144,0,-100
53,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.126126126,0,-100
54,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.135135135,0,-100
55,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.207207207,0,-100
56,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.126126126,0,-100
57,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.144144144,0,-100
58,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.135135135,0,-100
59,"{'svc_class__C': 0.01, 'svc_class__degree': 5}",0.01,5,0.151785714,0.142857143,-5.882352941
60,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.171171171,0,-100
61,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.171171171,0,-100
62,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.207207207,0.125,-39.67391304
63,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.198198198,0,-100
64,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.216216216,0,-100
65,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.162162162,0,-100
66,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.189189189,0,-100
67,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.207207207,0,-100
68,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.162162162,0,-100
69,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.18018018,0,-100
70,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.207207207,0,-100
71,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.162162162,0,-100
72,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.189189189,0,-100
73,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.189189189,0,-100
74,"{'svc_class__C': 0.01, 'svc_class__degree': 6}",0.01,6,0.1875,0.142857143,-23.80952381
75,"{'svc_class__C': 0.01, 'svc_class__degree': 7}",0.01,7,0.207207207,0,-100
