index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
0,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.828828829,0.625,-24.5923913
1,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.765765766,0.875,14.26470588
2,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.837837838,1,19.35483871
3,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.801801802,0.625,-22.0505618
4,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.81981982,0.625,-23.76373626
5,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.774774775,0.625,-19.33139535
6,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.846846847,0.75,-11.43617021
7,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.81981982,0.875,6.730769231
8,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.801801802,0.75,-6.460674157
9,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.873873874,0.875,0.128865979
10,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.828828829,0.875,5.570652174
11,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.846846847,0.875,3.324468085
12,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.792792793,0.875,10.36931818
13,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.792792793,0.625,-21.16477273
14,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,1,0.830357143,0.857142857,3.225806452
15,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.738738739,0.625,-15.39634146
16,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.684684685,0.875,27.79605263
17,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.72972973,0.75,2.777777778
18,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.738738739,0.375,-49.23780488
19,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.783783784,0.375,-52.15517241
20,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.747747748,0.5,-33.13253012
21,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.774774775,0.75,-3.197674419
22,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.747747748,0.75,0.301204819
23,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.711711712,0.75,5.379746835
24,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.774774775,0.75,-3.197674419
25,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.783783784,0.625,-20.25862069
26,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.774774775,0.75,-3.197674419
27,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.765765766,0.875,14.26470588
28,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.702702703,0.625,-11.05769231
29,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,1,0.723214286,0.571428571,-20.98765432
30,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.666666667,0.5,-25
31,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.540540541,0.625,15.625
32,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.648648649,0.75,15.625
33,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.621621622,0.375,-39.67391304
34,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.684684685,0.375,-45.23026316
35,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.630630631,0.375,-40.53571429
36,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.657657658,0.75,14.04109589
37,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.603603604,0.625,3.544776119
38,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.621621622,0.375,-39.67391304
39,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.684684685,0.75,9.539473684
40,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.657657658,0.5,-23.97260274
41,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.675675676,0.625,-7.5
42,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.648648649,0.875,34.89583333
43,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.621621622,0.5,-19.56521739
44,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,uniform,auto,1,0.607142857,0.571428571,-5.882352941
45,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.625,-37.5
46,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
47,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,1,0
48,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.625,-37.5
49,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.625,-37.5
50,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.625,-37.5
51,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.75,-25
52,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
53,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.75,-25
54,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
55,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
56,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
57,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.875,-12.5
58,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.625,-37.5
59,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,distance,auto,1,1,0.857142857,-14.28571429
60,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.625,-37.5
61,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.875,-12.5
62,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.875,-12.5
63,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.375,-62.5
64,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.5,-50
65,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.5,-50
66,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.75,-25
67,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.875,-12.5
68,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.75,-25
69,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.75,-25
70,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.625,-37.5
71,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.75,-25
72,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.875,-12.5
73,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.75,-25
74,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,distance,auto,1,1,0.571428571,-42.85714286
75,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.625,-37.5
76,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.625,-37.5
77,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.75,-25
78,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.375,-62.5
79,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.375,-62.5
80,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.375,-62.5
81,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.75,-25
82,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.625,-37.5
83,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.375,-62.5
84,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.625,-37.5
85,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.5,-50
86,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.625,-37.5
87,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.875,-12.5
88,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.5,-50
89,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 1, 'kn_class__weights': 'distance', 'oversample_SMOTE__sampling_strategy': 0.7}",0.7,100,distance,auto,1,1,0.571428571,-42.85714286
90,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,1,7.766990291
91,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,0.875,-5.703883495
92,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.945945946,1,5.714285714
