index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
0,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.828828829,0.375,-54.75543478
1,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.837837838,0.625,-25.40322581
2,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.864864865,0.75,-13.28125
3,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.756756757,0.375,-50.44642857
4,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.765765766,0.5,-34.70588235
5,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.783783784,0.5,-36.20689655
6,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.828828829,0.375,-54.75543478
7,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.810810811,0.875,7.916666667
8,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.81981982,0.25,-69.50549451
9,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.765765766,0.625,-18.38235294
10,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.846846847,0.625,-26.19680851
11,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.810810811,0.75,-7.5
12,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.801801802,0.75,-6.460674157
13,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.747747748,0.625,-16.41566265
14,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0,5,3,0.1,0.830357143,0.857142857,3.225806452
15,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.927927928,0.375,-59.58737864
16,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.90990991,0.875,-3.836633663
17,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.936936937,0.875,-6.610576923
18,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.918918919,0.625,-31.98529412
19,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.927927928,0.5,-46.11650485
20,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.927927928,0.5,-46.11650485
21,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.954954955,0.25,-73.82075472
22,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0,5,3,0.01,0.936936937,0.5,-46.63461538
